Rank,Player,Team,Seed,Proj Games,MPG,PPG,RPG,APG,SPG,BPG,Raw Score/G,Proj Total,Tier
171,Acaden Lewis,Villanova,8,1.2,30.3,12.3,3.1,5.3,1.9,0.1,22.7,27.2,Tier 4
172,Blue Cain,Georgia,8,1.2,27.9,13.3,5.1,2.7,1.4,0.2,22.7,27.2,Tier 4
173,Jeremiah Wilkinson,Georgia,8,1.2,25.5,17,2,1.8,1.6,0.3,22.7,27.2,Tier 4
174,Braeden Carrington,Wisconsin,5,2.1,18.2,8.4,2.5,1.1,0.4,0.3,12.7,26.7,Tier 4
175,Tyler Perkins,Villanova,8,1.2,29.6,13.7,5.4,1.6,1.2,0.3,22.2,26.6,Tier 4
176,Isaac McKneely,Louisville,6,1.7,28.8,10.6,3,1.4,0.5,0.1,15.6,26.5,Tier 4
177,Devin Royal,Ohio State,8,1.2,32.3,13.7,5.7,1.7,0.6,0.2,21.9,26.3,Tier 4
178,Skyy Clark,UCLA,7,1.5,28.7,11.7,2.3,2.1,1.2,0.1,17.4,26.1,Tier 4
179,Jaylen Carey,Tennessee,6,1.7,18.9,7.4,6.2,1.3,0.3,0.1,15.3,26,Tier 4
180,John Mobley Jr.,Ohio State,8,1.2,31.4,15.7,2.4,2.7,0.8,0.1,21.7,26,Tier 4
181,Elmarko Jackson,Kansas,4,2.8,18,4.9,1.8,1.5,0.8,0.2,9.2,25.8,Tier 4
182,Joson Sanon,St. John's,5,2.1,21.3,8.3,2.6,0.6,0.6,0.2,12.3,25.8,Tier 4
183,Adrian Wooley,Louisville,6,1.7,22.1,8.5,4,1.8,0.7,0.1,15.1,25.7,Tier 4
184,Mouhamed Dioubate,Kentucky,7,1.5,21.3,8.7,5.5,1,1,0.9,17.1,25.6,Tier 4
185,Bishop Boswell,Tennessee,6,1.7,26.3,6.2,4.5,2.9,1.3,0.1,15,25.5,Tier 4
186,Andrew Rohde,Wisconsin,5,2.1,26.2,5.7,2.1,2.8,1.3,0.2,12.1,25.4,Tier 4
