Team,Seed,Player,MPG,PPG,RPG,APG,SPG,BPG
Kentucky,6,Jaland Lowe,18.4,8,2.1,2.4,0.7,0.2
Kentucky,6,Kam Williams,19.9,6.9,2.5,1,0.6,0.4
Kentucky,6,Andrija Jelavic,15.7,5.8,3.9,0.6,0.5,0.3
Kentucky,6,Jasper Johnson,13.1,5.5,1.2,1.7,0.1,0.1
Kentucky,6,Jayden Quaintance,16.8,5,5,0.5,0.5,0.8
Kentucky,6,Brandon Garrison,15.6,4.3,4,1.2,0.5,0.5
Kentucky,6,Trent Noah,11.4,3.2,2.4,0.5,0.5,0.1
Kentucky,6,Zach Tow,1.1,0.6,0,0,0,0
Kentucky,6,Walker Horn,1.1,0.4,0.1,0.1,0,0
Saint Mary's,6,Paulius Murauskas,32.3,18.6,7.7,2.2,0.6,0.5
Saint Mary's,6,Mikey Lewis,26.7,13.9,2.7,2.2,0.7,0.2
Saint Mary's,6,Joshua Dent,36.1,13.3,2.5,5.6,1.6,0.1
Saint Mary's,6,Andrew McKeever,22.8,8.3,9.1,1.7,0.5,0.8
Saint Mary's,6,Dillan Shaw,27.2,7.7,5.3,1.6,0.9,0.6
Saint Mary's,6,Harry Wessels,17.1,5.1,5.3,0.6,0.4,1.1
Saint Mary's,6,Liam Campbell,14.7,4.7,1.8,0.5,0.4,0
Saint Mary's,6,Tony Duckett,6.8,3.3,0.5,0.4,0.3,0.3
Saint Mary's,6,Rory Hawke,10.7,2.5,1.1,0.4,0.2,0
Saint Mary's,6,Mantas Juzenas,5.8,2.2,1.5,0.3,0.1,0
Saint Mary's,6,Kevin Gad,10.1,1.4,1.3,0.7,0.1,0
Saint Mary's,6,Cade Bennett,4.6,1,1,0.5,0,0
Saint Mary's,6,Oliver Faubert,2.1,0.2,0,0,0.1,0
Miami (FL),7,Malik Reneau,28.5,19.1,6.7,2.2,0.9,0.7
Miami (FL),7,Tre Donaldson,34.1,16.6,3.8,5.9,1.3,0.2
Miami (FL),7,Shelton Henderson,30.7,14,4.8,2.1,1.2,0.3
Miami (FL),7,Tru Washington,27.7,11.8,4.1,1.6,2,0
Miami (FL),7,Ernest Udeh Jr.,27.3,7.1,9.5,0.5,1,1.5
Miami (FL),7,Dante Allen,23.4,6.3,2.8,2.2,1.1,0.1
Miami (FL),7,Marcus Allen,18.9,5.3,3.1,1.6,0.3,0
Miami (FL),7,Timotej Malovec,16.3,4.7,1.5,1,0.3,0.2
Miami (FL),7,Noam Dovrat,9.3,3.6,0.5,1.1,0.4,0
Miami (FL),7,Salih Altuntas,8.1,1.7,2,0.1,0.2,0.4
Miami (FL),7,John Laboy II,4.7,1.2,0.2,0.5,0.3,0
Miami (FL),7,Jordyn Kee,3.1,0.4,0.4,0.4,0.1,0
Villanova,7,Tyler Perkins,29.4,13.5,5.5,1.6,1.2,0.3
Villanova,7,Acaden Lewis,30.3,12.5,3.2,5.1,2,0.1
Villanova,7,Bryce Lindsay,28.6,12.3,2,2.1,0.7,0
Villanova,7,Duke Brennan,30.7,12,10.4,2,0.8,0.5
Villanova,7,Devin Askew,22.6,9.9,2.4,1.9,1.1,0.1
Villanova,7,Matthew Hodge,27.6,9.2,3.6,0.7,0.4,0.6
Villanova,7,Malachi Palmer,17.5,4.3,1.7,0.6,0.6,0.1
Villanova,7,Christian Jeffrey,8.1,3,1.1,1,0.6,0
Villanova,7,Tafara Gapare,16.3,2.9,2.9,0.4,0.6,0.8
Villanova,7,Zion Stanford,5.1,1.3,0.5,0.4,0.2,0
Villanova,7,Wade Chiddick,3,1,0,0,0,0
Villanova,7,Braden Pierce,6.5,0.9,0.9,0.4,0.2,0.4
Villanova,7,Malcolm Flaggs,1,0,1,0,0,0
St. John's,7,Zuby Ejiofor,29.6,16,7.1,3.5,1.2,2
St. John's,7,Bryce Hopkins,28,13.3,6,2,1.1,0.3
St. John's,7,Oziyah Sellers,29.6,10.7,3,1.8,0.6,0.3
